Gogoro Stations,Lat/Long
Gogoro Experience,"14.553173728060276, 121.02331270020356"
Puregold Paranaque,"14.501138213999802, 120.99725489756251"
Paseo de Magallanes,"14.539457287069082, 121.01665998813688"
Puregold Makati,"14.574626454754492, 121.01240104466295"
Seaoil Guadalupe,"14.560601273493463, 121.04194597166061"
The Globe Tower,"14.553192302813372, 121.05004092333598"
Phoenix Petroleum Shaw Pasig,"14.575981982585013, 121.05940780209522"
Seaoil C5 Northbound,"14.58267302167793, 121.0771674000051"
White Plains,"14.609019789257834, 121.07073394875785"
Ayala Feliz,"14.61927746742098, 121.09358476151174"
UP Town Center,"14.648754667029095, 121.07471263108368"
